ㄱ,주소,Latitude,Longitude
계산여자중학교,인천광역시 계양구 장제로755번길 16(계산동.계산여자중학교),37.5359254,126.732945
계양중학교,인천광역시 계양구 장제로1181번길 9. 계양중학교 (귤현동),37.5690025,126.7387428
인천당하중학교,인천광역시 서구 청마로 38(당하동. 당하중학교),37.5902222,126.6696429
동인천여자중학교,인천광역시 서구 여우재로112번길 13(가좌동. 동인천여자중학교),37.489598,126.6883269
명현중학교,인천광역시 계양구 안남로554번길 26. 명현중학교 (효성동),37.5318199,126.7138035
인천이음중학교,인천광역시 서구 이음1로 455. (우)22861 (원당동. 인천이음중학교),37.599685,126.7117143
인천청라중학교,인천광역시 서구 청라라임로 112(청라동. 청라중학교),37.5376062,126.6539093
북인천여자중학교,인천광역시 계양구 아나지로85번길 12(효성동),37.5266547,126.7012124
북인천중학교,인천광역시 계양구 계산로22번길 6(계산동. 북인천중학교),37.5419407,126.7170129
불로중학교,인천광역시 서구 고산후로 363(불로동. 불로중학교),37.6156249,126.6956098
백석중학교,인천광역시 서구 서곶로 695(백석동. 백석중학교),37.5794074,126.6739676
서곶중학교,인천광역시 서구 대평로56번길 22(연희동. 서곶중학교),37.5489759,126.6710556
서운중학교,인천광역시 계양구 아나지로 467(서운동. 서운중학교),37.5260824,126.7444405
신현중학교,인천광역시 서구 원창로131번길 23(신현동),37.5196792,126.66418
신현여자중학교,인천광역시 서구 새오개로111번길 15(신현동. 신현여자중학교),37.5208022,126.6643414
인천안남중학교,인천광역시 계양구 계산새로33번길 5(계산동. 안남중학교),37.5389504,126.7309111
인천초은중학교,인천광역시 서구 청라라임로 10(청라동. 초은중학교),37.5281243,126.6539359
임학중학교,인천광역시 계양구 장제로 894임학중학교 (병방동),37.5459114,126.7404179
제물포중학교,인천광역시 서구 여우재로112번길 7. 제물포중학교 (가좌동. 제물포중학교),37.4890113,126.6872779
인천효성중학교,인천광역시 계양구 안남로 607(효성동. 인천효성중학교),37.5374074,126.7108615
작전중학교,인천광역시 계양구 주부토로448번길 16.작전중학교(작전동),37.5333644,126.7295462
간재울중학교,인천광역시 서구 승학로512번길 34(검암동. 간재울중학교),37.5626915,126.6764092
마전중학교,인천광역시 서구 완정로 91(마전동. 마전중학교),37.5976058,126.6652434
원당중학교,인천광역시 서구 고산로40번길 22(원당동. 원당중학교),37.5965664,126.7036502
인천동양중학교,인천광역시 계양구 당미길 56(동양동. 인천동양중학교),37.5622444,126.7607986
인천양촌중학교,인천광역시 계양구 장제로948번길 13(병방동),37.5500976,126.7450277
인천가현중학교,인천광역시 서구 염곡로 409(신현동. 가현중학교),37.5212567,126.6681901
