ㄱ,주소
인천인동초등학교,인천광역시 남동구 백범로248번길 38. 인천인동초등학교 (만수동)
인천인수초등학교,인천광역시 남동구 인수로 3(만수동. 인수초등학교)
인천장수초등학교,인천광역시 남동구 담방로 121(만수동. 장수초등학교)
인천장아초등학교,인천광역시 남동구 서창방산로 93. 인천장아초등학교 (서창동)
인천조동초등학교,인천광역시 남동구 백범로124번길 164(만수동. 조동초등학교)
인천주원초등학교,인천광역시 남동구 주안로259번길 28(간석동. 주원초등학교)
인천먼우금초등학교,인천광역시 연수구 해돋이로84번길 33. 인천먼우금초등학교 (송도동. 인천먼우금초등학교)
인천중앙초등학교,인천광역시 연수구 새말로 153(연수동. 중앙초등학교)
인천청량초등학교,인천광역시 연수구 먼우금로 158(동춘동. 청량초등학교)
인천청학초등학교,인천광역시 연수구 함박뫼로 25(청학동. 청학초등학교)
인천고잔초등학교,인천광역시 남동구 아암대로1503번길 48. 인천고잔초등학교 (논현동)
인천축현초등학교,인천광역시 연수구 청량로 176. (옥련동. 축현초등학교)
인천신송초등학교,인천광역시 연수구 해돋이로56번길 28(송도동. 신송초등학교)
인천함박초등학교,인천광역시 연수구 함박뫼로 87. 함박초등학교 (연수동. 함박초등학교)
인천신월초등학교,인천광역시 남동구 인주대로776번길 14. 인천신월초등학교 (구월동. 신월초등학교)
인천새말초등학교,인천광역시 남동구 만수로50번길 12(만수동. 새말초등학교)
인천서창초등학교,인천광역시 남동구 장아산로174번길 8(서창동. 서창초등학교)
인천장도초등학교,인천광역시 남동구 포구로 112(논현동. 인천장도초등학교)
인천동방초등학교,인천광역시 남동구 논현역로 31(논현동. 동방초등학교)
인천논현초등학교,인천광역시 남동구 소래역로 102(논현동. 논현초등학교)
인천은봉초등학교,인천광역시 남동구 은봉로312번길 11. 은봉초등학교 (논현동)
인천정각초등학교,인천광역시 남동구 구월로 228(구월동.정각초등학교)
인천해송초등학교,인천광역시 연수구 인천타워대로54번길 46. 인천해송초등학교 (송도동)
인천상아초등학교,인천광역시 남동구 석산로184번길 66(간석동. 상아초등학교)
인천송명초등학교,인천광역시 연수구 송도교육로 19(송도동)
인천미송초등학교,인천광역시 연수구 아카데미로 667(송도동. 인천미송초등학교)
인천은송초등학교,인천광역시 연수구 센트럴로 460(송도동. 인천은송초등학교)
인천송담초등학교,인천광역시 연수구 아카데미로 627(송도동. 인천송담초등학교)
인천박문초등학교,인천광역시 연수구 봉재산로 138-22(동춘동.박문초등학교)
인천단봉초등학교병설유치원,인천광역시 서구 단봉로 122(오류동. 단봉초등학교)
인천도담초등학교병설유치원,인천광역시 서구 청라커낼로 217 인천도담초등학교병설유치원(청라동. 도담초등학교)
인천백석초등학교병설유치원,인천광역시 서구 청마로 55(당하동. 인천백석초등학교병설유치원)
인천가원초등학교병설유치원,인천광역시 서구 청중로478번길 6(가정동. 인천가원초등학교병설유치원)
인천해든초등학교병설유치원,인천광역시 서구 서로3로 60(당하동. 인천해든초등학교)
인천가석초등학교병설유치원,인천광역시 서구 서달로 174(가정동. 가석초병설유치원)
인천가현초등학교병설유치원,인천광역시 서구 염곡로 417. 인천가현초등학교병설유치원 (신현동)
인천해원초등학교병설유치원,인천광역시 서구 청라사파이어로140번길 6. 인천해원초등학교 병설유치원 (청라동)
인천경명초등학교병설유치원,인천광역시 서구 크리스탈로 130(청라동. 인천경명초등학교)
인천금곡초등학교병설유치원,인천광역시 서구 완정로228번길 19(금곡동. 금곡초등학교)
인천계양초등학교병설유치원,인천광역시 계양구 장제로 1288(장기동. 인천계양초등학교병설유치원)
인천검단초등학교병설유치원,인천광역시 서구 마전로115번길 24(마전동. 검단초등학교)
인천계양초등학교상야분교장병설유치원,인천광역시 계양구 벌말로 572-1(상야동. 인천계양초등학교상야분교병설유치원)
인천당하초등학교병설유치원,인천광역시 서구 청마로 144(당하동. 인천당하초등학교병설유치원)
인천마전초등학교병설유치원,인천광역시 서구 완정로34번길 23(마전동. 인천마전초등학교병설유치원)
인천명현초등학교병설유치원,인천광역시 계양구 봉오대로569번길 10(효성동. 명현초등학교)
인천목향초등학교병설유치원,인천광역시 서구 고산후로 377(불로동. 목향초등학교)
인천안산초등학교병설유치원,인천광역시 계양구 임학서로 15(계산동. 안산초병설유치원)
인천청라초등학교병설유치원,인천광역시 서구 청라에메랄드로 139(청라동. 인천청라초등학교)
인천초은초등학교병설유치원,인천광역시 서구 청라에메랄드로 33(청라동. 초은초등학교)
인천불로초등학교병설유치원,인천광역시 서구 검단로744번1길 50(불로동)
인천부현초등학교병설유치원,인천광역시 계양구 장제로755번길 30(계산동. 인천부현초병설유치원)
인천서곶초등학교병설유치원,인천광역시 서구 대평로56번길 9(연희동. 서곶초병설유치원)
인천서운초등학교병설유치원,인천광역시 계양구 서운로 12인천서운초등학교병설유치원(서운동)
인천석남초등학교병설유치원,인천광역시 서구 서달로130번길 4(석남동. 석남초등학교)
인천성지초등학교병설유치원,인천광역시 계양구 아나지로247번길 8(작전동. 성지초등학교)
인천신석초등학교병설유치원,인천광역시 서구 새오개로 9(석남동. 신석초등학교)
인천소양초등학교병설유치원,인천광역시 계양구 박촌로 53(박촌동. 인천소양초등학교병설유치원)
인천양지초등학교병설유치원,인천광역시 서구 승학로197번길 11(심곡동. 양지초등학교)
인천창신초등학교병설유치원,인천광역시 서구 고산후로161번길 6(원당동. 창신초등학교)
인천경연초등학교병설유치원,인천광역시 서구 차오름로 64(청라동)
인천간재울초등학교병설유치원,인천광역시 서구 승학로 433(검암동. 간재울초등학교)
인천발산초등학교병설유치원,인천광역시 서구 고산후로78번길 6(당하동. 발산초등학교)
인천봉화초등학교병설유치원,인천광역시 서구 건지로250번길 43(가좌동. 봉화초등학교)
