,정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,legal_dong
58055,GGB166000033,십정사거리,37.4745833,126.6918833,2023-10-16,40033.0,23,인천광역시,경기,십정동
58056,GGB166000043,선린감리교회,37.47635,126.6929333,2023-10-16,40043.0,23,인천광역시,경기,십정동
58057,GGB166000047,선린감리교회,37.4766833,126.6927,2023-10-16,40047.0,23,인천광역시,경기,십정동
58058,GGB166000056,십정2동행정복지센터,37.474,126.7090333,2023-10-16,40056.0,23,인천광역시,경기,십정동
58059,GGB166000058,백영아파트,37.4786833,126.6954667,2023-10-16,40058.0,23,인천광역시,경기,십정동
58060,GGB166000059,상정중학교,37.4788833,126.6951667,2023-10-16,40059.0,23,인천광역시,경기,십정동
58061,GGB166000066,부평삼거리역,37.476,126.7094333,2023-10-16,40066.0,23,인천광역시,경기,십정동
58062,GGB166000069,상정고,37.48075,126.6987167,2023-10-16,40069.0,23,인천광역시,경기,십정동
58063,GGB166000070,상정고,37.48095,126.69845,2023-10-16,40070.0,23,인천광역시,경기,십정동
58064,GGB166000074,부평사거리,37.4803,126.7101167,2023-10-16,40074.0,23,인천광역시,경기,십정동
58065,GGB166000075,백운공원(부평아트센터),37.48305,126.70185,2023-10-16,40075.0,23,인천광역시,경기,십정동
58066,GGB166000076,백운공원(부평아트센터),37.4829333,126.7023,2023-10-16,40076.0,23,인천광역시,경기,십정동
58067,GGB166000077,경인교회앞,37.4803833,126.711,2023-10-16,40077.0,23,인천광역시,경기,십정동
58068,GGB166000079,백운역,37.4831333,126.7087167,2023-10-16,40079.0,23,인천광역시,경기,십정동
58069,GGB166000080,백운역,37.4833167,126.7083333,2023-10-16,40080.0,23,인천광역시,경기,십정동
58070,GGB166000082,부평도서관,37.48465,126.70525,2023-10-16,40082.0,23,인천광역시,경기,십정동
58071,GGB166000084,부평도서관,37.4851333,126.7054833,2023-10-16,40084.0,23,인천광역시,경기,십정동
58072,GGB166000091,희망천입구,37.4829667,126.7143167,2023-10-16,40091.0,23,인천광역시,경기,부평동
58073,GGB166000103,현대자동차빌딩앞,37.4876167,126.7069167,2023-10-16,40103.0,23,인천광역시,경기,산곡동
58074,GGB166000105,현대아파트113동,37.4877167,126.7072667,2023-10-16,40105.0,23,인천광역시,경기,산곡동
58075,GGB166000106,무내미마을,37.4728333,126.7545333,2023-10-16,40106.0,23,인천광역시,경기,구산동
58076,GGB166000108,동수역,37.4847833,126.7174,2023-10-16,40108.0,23,인천광역시,경기,부평동
58077,GGB166000110,동수역,37.4850833,126.7172833,2023-10-16,40110.0,23,인천광역시,경기,부평동
58078,GGB166000112,현대아파트,37.4881167,126.7085667,2023-10-16,40112.0,23,인천광역시,경기,산곡동
58079,GGB166000117,충성아파트,37.4736667,126.7548667,2023-10-16,40117.0,23,인천광역시,경기,구산동
58080,GGB166000123,부일여자중학교,37.485,126.7198333,2023-10-16,40123.0,23,인천광역시,경기,부평동
58081,GGB166000124,동수역,37.4852167,126.7195167,2023-10-16,40124.0,23,인천광역시,경기,부평동
58082,GGB166000125,새마을금고,37.4847833,126.7210333,2023-10-16,40125.0,23,인천광역시,경기,부평동
58083,GGB166000127,현대3단지,37.4896167,126.7057333,2023-10-16,40127.0,23,인천광역시,경기,산곡동
58084,GGB166000129,현대3단지,37.4897167,126.7060667,2023-10-16,40129.0,23,인천광역시,경기,산곡동
58085,GGB166000131,새마을금고,37.485,126.7215667,2023-10-16,40131.0,23,인천광역시,경기,부평동
58086,GGB166000138,인천성모병원후문,37.4851333,126.7242333,2023-10-16,40138.0,23,인천광역시,경기,부평동
58087,GGB166000139,인천성모병원후문,37.4853167,126.7240333,2023-10-16,40139.0,23,인천광역시,경기,부평동
58088,GGB166000145,근로복지공단인천병원,37.4766833,126.7517,2023-10-16,40145.0,23,인천광역시,경기,구산동
58089,GGB166000149,인평자동차정보고,37.4917,126.7049833,2023-10-16,40149.0,23,인천광역시,경기,산곡동
58090,GGB166000155,근로복지공단인천병원,37.4774,126.7518667,2023-10-16,40155.0,23,인천광역시,경기,구산동
58091,GGB166000159,2001아울렛,37.49065,126.712,2023-10-16,40159.0,23,인천광역시,경기,부평동
58092,GGB166000160,부평LH1.2단지,37.4852,126.7301,2023-10-16,40160.0,23,인천광역시,경기,부평동
58093,GGB166000161,부평LH1.2단지,37.4853667,126.7299,2023-10-16,40161.0,23,인천광역시,경기,부평동
58094,GGB166000162,2001아울렛,37.4910833,126.7127,2023-10-16,40162.0,23,인천광역시,경기,산곡동
58095,GGB166000171,비젼교회,37.48495,126.7343667,2023-10-16,40171.0,23,인천광역시,경기,부개동
58096,GGB166000172,삼미타운,37.4850833,126.7346167,2023-10-16,40172.0,23,인천광역시,경기,부개동
58097,GGB166000174,운화교회,37.49495,126.7029833,2023-10-16,40174.0,23,인천광역시,경기,산곡동
58098,GGB166000181,부원중학교,37.4912333,126.7172833,2023-10-16,40181.0,23,인천광역시,경기,부평동
58099,GGB166000184,동수교회,37.487,126.73055,2023-10-16,40184.0,23,인천광역시,경기,부평동
58100,GGB166000186,부평6동우체국,37.4873333,126.7312,2023-10-16,40186.0,23,인천광역시,경기,부평동
