ㄱ,주소
인천뷰티예술고등학교,인천광역시 연수구 원인재로 21. 인천뷰티예술고등학교 (동춘동)
인천혜광학교,인천광역시 부평구 경인로769번길 27. 인천혜광학교 (십정동)
인천성동학교,인천광역시 부평구 경인로 880. 인천성동학교 (부평동)
인천청선학교,인천광역시 남동구 인주대로914번길 16(만수동)
인천청인학교,인천광역시 미추홀구 숙골로135번길 14(도화동. 인천청인학교)
인천서희학교,인천광역시 서구 독정로 44-4(당하동)
인천연일학교,인천광역시 연수구 함박뫼로 208(연수동)
인천예림학교,인천광역시 부평구 동수로 87(부평동)
인천인혜학교,인천광역시 계양구 장제로 1304(장기동)
미추홀학교,인천광역시 남동구 수현로136번길 16(만수동)
인천은광학교,인천광역시 부평구 마분로 8(부개동)
한진고등기술학교,인천광역시 미추홀구 장고개로 69. 한진고등기술학교 (도화동. 한진고등기술학교)
인천산업정보학교,인천광역시 동구 금창로 31(금곡동)
인천청담고등학교,인천광역시 연수구 앵고개로 132(동춘동)
인천해밀학교,인천광역시 남동구 문화로169번길 73(구월동)
인천여자고등학교 부설 방송통신고등학교,인천광역시 연수구 비류대로506번길 14
제물포고등학교 부설 방송통신고등학교,인천광역시 중구 자유공원로 58-9
덕적초등학교병설유치원,인천광역시 옹진군 덕적면 덕적남로 15(덕적면. 덕적초중고등학교)
유원유치원,인천광역시 미추홀구 낙섬중로 100(용현동)
인천용학초등학교병설유치원,인천광역시 미추홀구 용정공원로83번길 9. 인천용학초등학교 (용현동. 인천 용학초등학교)
인천용유초등학교병설유치원,인천광역시 중구 남북로87번길 4(남북동. 용유초등학교)
연평초등학교병설유치원,인천광역시 옹진군 연평면 연평로137번길 101(연평면. 연평초등학교)
인천주안초등학교병설유치원,인천광역시 미추홀구 남주길69번길 16(주안동. 주안초등학교)
인천서흥초등학교병설유치원,인천광역시 동구 샛골로 189(송림동)
인천영종초등학교병설유치원,인천광역시 중구 하늘달빛로 133(중산동. 영종초등학교)
대청초등학교병설유치원,인천광역시 옹진군 대청면 대청로244번길 110대청초등학교 병설유치원 (대청면. 대청초등학교)
한빛유치원,인천광역시 미추홀구 소성로 120(학익동. 동아.풍림아파트)
무지개유치원,인천광역시 중구 눈돌로 35(운서동)
인천만석초등학교병설유치원,인천광역시 동구 제물량로 412. 만석초등학교 병설유치원 (화수동. 만석초등학교)
프라임건영유치원,인천광역시 미추홀구 남주길11번길 79프라임건영유치원 (도화동)
숭의유치원,인천광역시 미추홀구 독배로 485(숭의동.비젼선교관 숭의교회)
도담유치원,인천광역시 미추홀구 인하로 319(주안동)
연흥유치원,인천광역시 미추홀구 석정로434번길 12(주안동.연흥유치원)
소라유치원,인천광역시 미추홀구 경원대로 799(주안동.소라유치원)
동원유치원,인천광역시 미추홀구 인하로235번길 27(주안동)
인천문학초등학교병설유치원,인천광역시 미추홀구 매소홀로 553(문학동. 문학초등학교)
송현유치원,인천광역시 동구 화수로 40(송현동.송현유치원)
북포초등학교병설유치원,인천광역시 옹진군 백령면 가을길 117(백령면. 북포초등학교)
세종유치원,인천광역시 미추홀구 낙섬서로 77(용현동)
인천삼목초등학교장봉분교장병설유치원,인천광역시 옹진군 북도면 장봉로 553(북도면. 인천삼목초등학교장봉분교)
소명유치원,인천광역시 미추홀구 낙섬동로 71-1(용현동)
인천서림초등학교병설유치원,인천광역시 동구 금곡로 105(송림동)
인천대화초등학교병설유치원,인천광역시 미추홀구 석정로301번길 13(도화동. 대화초등학교)
인천송림초등학교병설유치원,인천광역시 동구 화도진로 10(송림동. 송림초등학교)
다솜유치원,인천광역시 미추홀구 학익소로23번길 11(학익동.다솜유치원)
인천도화초등학교병설유치원,인천광역시 미추홀구 경인로 242(도화동. 도화초등학교)
진흥유치원,인천광역시 미추홀구 주승로 109(주안동.진흥아파트)
인천서화초등학교병설유치원,인천광역시 미추홀구 송림로 250(도화동. 서화초등학교)
미주유치원,인천광역시 미추홀구 석정로461번길 19(주안동)
신동아유치원,인천광역시 미추홀구 매소홀로475번길 18(학익동)
인천재능대학교부속유치원,인천광역시 동구 재능로 178(송림동.재능대학)
리틀하버드유치원,인천광역시 미추홀구 한나루로403번길 60-3(학익동.재능유치원)
성바오로유치원,인천광역시 미추홀구 경인남길102번길 50(용현동.성바오로유치원)
인천공항유치원,인천광역시 중구 신도시남로 43(운서동. 공항초등학교)
박문유치원,인천광역시 중구 우현로50번길 2(답동.답동성당)
용화유치원,인천광역시 미추홀구 주염로 29(주안동.법보선원)
금호유치원,인천광역시 미추홀구 매소홀로 70(용현동.용현2단지금호타운)
인천송월초등학교병설유치원,인천광역시 중구 자유공원로 106-8(전동. 인천송월초등학교)
백령성모유치원,인천광역시 옹진군 백령면 백령로254번길 66. 성모유치원 (백령면.주택)
노벨유치원,인천광역시 미추홀구 낙섬중로 74(용현동)
인천송현초등학교병설유치원,인천광역시 동구 송화로 45(송현동. 송현초등학교)
인천숭의초등학교병설유치원,인천광역시 미추홀구 장천로 99(숭의동. 숭의초등학교)
초롱유치원,인천광역시 중구 영종대로27번길 38(운서동.풍림 아이원아파트)
해승유치원,인천광역시 미추홀구 학익소로61번길 93(학익동) 해승유치원
해님나라유치원,인천광역시 중구 은골로 42(운서동)
하늘유치원,인천광역시 미추홀구 미추홀대로626번길 47(주안동.하늘유치원)
인천공항초등학교신도분교장병설유치원,인천광역시 옹진군 북도면 신도로896번길 18-31(북도면. 인천공항초등학교신도분교)
인천별빛초등학교병설유치원,인천광역시 중구 은하수로 402. 인천별빛초등학교병설유치원 (운남동)
영흥초등학교병설유치원,인천광역시 옹진군 영흥면 영흥로 440-8(영흥면. 영흥초등학교)
인천신선초등학교병설유치원,인천광역시 중구 축항대로291번길 33(신흥동3가. 신선초등학교)
인천신흥초등학교병설유치원,인천광역시 중구 제물량로 134(답동. 인천신흥초병설유치원)
인천용일초등학교병설유치원,인천광역시 미추홀구 인주대로 244(용현동. 용일초등학교)
인천용정초등학교병설유치원,인천광역시 미추홀구 독정안길 26(숭의동. 용정초등학교)
인천용현남초등학교자월분교장병설유치원,인천광역시 옹진군 자월면 자월서로 177. 인천용현남초등학교자월분교장병설유치원(자월면. 용현남초등학교자월분교)
인천인주초등학교병설유치원,인천광역시 미추홀구 매소홀로475번길 53(학익동. 인주초등학교)
인천창영초등학교병설유치원,인천광역시 동구 우각로15번길 16(창영동)
인천연학초등학교병설유치원,인천광역시 미추홀구 주승로 20(학익동. 연학초병설유치원)
인천학익초등학교병설유치원,인천광역시 미추홀구 한나루로403번길 122(학익동. 학익초등학교)
인천하늘초등학교병설유치원,인천광역시 중구 은하수로 294(중산동)
국현유치원,인천광역시 미추홀구 미추홀대로597번길 42(주안동)
뒤나미스유치원,인천광역시 중구 오작로 116(중산동)
이튼유치원,인천광역시 중구 남디로안길 34-7(운남동)
예원유치원,인천광역시 동구 송현로 63-3(송현동)
밀알유치원,인천광역시 미추홀구 장고개로42번길 42(도화동)
한울유치원,인천광역시 동구 솔빛로 17(송현동)
인천남부초등학교이작분교장병설유치원,인천광역시 옹진군 자월면 대이작로 60. 인천남부초등학교이작분교장병설유치원 (자월면. 인천남부초이작분교장병설유치원)
건영유치원,인천광역시 미추홀구 인하로221번길 19(주안동)
그림나라유치원,인천광역시 미추홀구 소성로332번길 10(문학동)
인천경원초등학교병설유치원,인천광역시 미추홀구 경인로 511(주안동. 경원초등학교)
반디유치원,인천광역시 미추홀구 매소홀로 340(학익동.학익동풍림아이원아파트)
참빛유치원,인천광역시 미추홀구 수봉로135번길 29(주안동.주안동 노유자시설)
지영유치원,인천광역시 중구 도원로8번길 28(신흥동3가. 지영유치원)
영종유치원,인천광역시 중구 백운로 57-25(중산동. 영종유치원)
솔샘유치원,인천광역시 미추홀구 석산로 38(주안동)
산새소리유치원,인천광역시 동구 송림로117번길 6(송림동.명성어린이집)
솔빛유치원,인천광역시 동구 화수로 2(송현동.솔빛유치원)
인천중산초등학교병설유치원,인천광역시 중구 두미포로 100(중산동. 인천중산초등학교)
인천연안초등학교병설유치원,인천광역시 중구 연안부두로33번길 53(항동7가. 인천연안초등학교)
