ㄱ,주소,Latitude,Longitude
인천가정초등학교,인천광역시 서구 장고개로 336-1(가좌동.가정초등학교),37.491376,126.6883219
인천가좌초등학교,인천광역시 서구 장고개로309번길 5(가좌동. 가좌초등학교),37.4901714,126.6841911
인천경명초등학교,인천광역시 서구 크리스탈로 130. 139-2(청라동. 인천경명초등학교),37.5351142,126.6598068
인천건지초등학교,인천광역시 서구 건지로318번길 39(가좌동. 건지초등학교),37.4949867,126.6779018
인천검단초등학교,인천광역시 서구 마전로115번길 24(마전동. 검단초등학교),37.6107916,126.6697556
인천공촌초등학교,인천광역시 서구 심곡로188번길 21(공촌동),37.5486935,126.6840045
인천계산초등학교,인천광역시 계양구 경명대로 1005(계산동. 계산초등학교),37.5444947,126.7180746
인천계양초등학교,인천광역시 계양구 장제로 1288(장기동. 인천계양초등학교),37.5785125,126.7333767
인천길주초등학교,인천광역시 계양구 용종로 90(용종동. 인천길주초등학교),37.5417288,126.7426557
인천금곡초등학교,인천광역시 서구 완정로228번길 19(금곡동. 금곡초등학교),37.6056491,126.6508996
인천당하초등학교,인천광역시 서구 청마로 144(당하동. 당하초등학교),37.5901155,126.6780316
인천계양초등학교상야분교장,인천광역시 계양구 벌말로 572-1(상야동. 인천계양초등학교상야분교장),37.5790575,126.7802107
인천마전초등학교,인천광역시 서구 완정로34번길 23(마전동. 마전초등학교),37.596065,126.669272
인천명현초등학교,인천광역시 계양구 봉오대로569번길 10(효성동. 명현초등학교),37.5318677,126.7124131
인천목향초등학교,인천광역시 서구 고산후로 377(불로동. 목향초등학교),37.6163682,126.6946272
인천백석초등학교,인천광역시 서구 청마로 55(당하동),37.5895675,126.671992
인천병방초등학교,인천광역시 계양구 병방로 2(병방동. 인천병방초등학교),37.5467854,126.7407933
인천봉수초등학교,인천광역시 서구 봉오대로267번길 11-4(가정동. 봉수초등학교),37.526424,126.6786798
인천안산초등학교,인천광역시 계양구 임학서로 15(계산동),37.5442286,126.7322724
인천부평초등학교,인천광역시 계양구 어사대로 20(계산동. 인천부평초등학교),37.5420331,126.7237336
인천청라초등학교,인천광역시 서구 청라에메랄드로 139. 인천청라초등학교 (청라동. 인천청라초등학교),37.5376117,126.6557839
인천초은초등학교,인천광역시 서구 청라에메랄드로 33(청라동. 인천초은초등학교),37.5281626,126.6558245
인천불로초등학교,인천광역시 서구 검단로744번1길 50.불로초등학교 (불로동. 불로초등학교),37.6139554,126.6891897
인천부현초등학교,인천광역시 계양구 장제로755번길 30.(계산동),37.5362106,126.7312989
인천이음초등학교,인천광역시 서구 이음1로 447(원당동. 인천이음초등학교),37.5898473,126.7167832
인천서곶초등학교,인천광역시 서구 대평로56번길 9(연희동. 서곶초등학교),37.5478449,126.6697567
인천서운초등학교,인천광역시 계양구 서운로 12인천서운초등학교(서운동),37.526888,126.744485
인천석남초등학교,인천광역시 서구 서달로130번길 4(석남동. 석남초등학교),37.5102864,126.6800835
인천석남서초등학교,인천광역시 서구 건지로249번길 6(석남동. 석남서초등학교),37.4997557,126.670874
인천성지초등학교,인천광역시 계양구 아나지로247번길 8(작전동.성지초등학교),37.5260352,126.7198292
인천소양초등학교,인천광역시 계양구 박촌로 53(박촌동. 인천소양초등학교),37.5559569,126.7424398
인천신대초등학교,인천광역시 계양구 계산새로 133(용종동. 신대초등학교),37.5388951,126.743521
인천신석초등학교,인천광역시 서구 새오개로 9(석남동. 신석초등학교),37.5108159,126.6643735
인천신현초등학교,인천광역시 서구 율도로77번길 1(신현동. 신현초등학교),37.5142378,126.6699444
인천신현북초등학교,인천광역시 서구 원창로 147. 신현북초등학교 (신현동),37.5184415,126.6662473
인천심곡초등학교,인천광역시 서구 심곡로 114(심곡동. 심곡초등학교),37.5433657,126.6821657
