objectid,emd_cd,emd_nm,sgg_oid,col_adm_se,st_area_sh,st_length_,NUMPOINTS
111,"28140103",송현동,35,"28140",2722317.33369999984,10727.56427800000,1.000000000000000
112,"28140104",화평동,36,"28140",127611.18887800000,1574.42912267000,0.000000000000000
135,"28110125",답동,253,"28110",101012.47510200000,1342.70852650000,1.000000000000000
136,"28110116",항동5가,254,"28110",15895.29535830000,505.44760690200,0.000000000000000
137,"28110104",중앙동4가,250,"28110",15873.45346870000,503.62094466700,0.000000000000000
138,"28110124",신포동,251,"28110",38555.65273360000,948.08119594400,0.000000000000000
139,"28110108",해안동4가,255,"28110",7438.91386574000,371.90038689600,0.000000000000000
140,"28110130",유동,256,"28110",61870.54871610000,1283.74437849000,0.000000000000000
141,"28110117",항동6가,258,"28110",14462.96346080000,485.55793418500,0.000000000000000
113,"28140107",송림동,65,"28140",2298924.23168999981,12774.77607780000,4.000000000000000
114,"28110129",선화동,262,"28110",49286.87972770000,1104.94848497000,0.000000000000000
115,"28110137",전동,263,"28110",265372.34682600002,2213.65426115000,1.000000000000000
116,"28110136",인현동,264,"28110",130637.50118700000,1838.48495834000,0.000000000000000
142,"28110126",신흥동1가,259,"28110",144194.18470499999,1970.91593520000,0.000000000000000
143,"28710340",화도면,3889,"28710",42220971.12590000033,33621.51877630000,1.000000000000000
117,"28110151",덕교동,265,"28110",2982903.77772000013,15937.05854200000,0.000000000000000
118,"28110150",남북동,266,"28110",3933338.02259000018,14504.47890550000,1.000000000000000
119,"28110149",을왕동,1586,"28110",7836127.22130999900,26900.95253320000,0.000000000000000
120,"28110105",해안동1가,268,"28110",12885.83934960000,461.31151459900,0.000000000000000
121,"28110112",항동1가,269,"28110",47665.51094490000,1473.78267176000,0.000000000000000
122,"28110127",신흥동2가,261,"28110",128854.48268700000,2046.44718832000,0.000000000000000
125,"28260114",당하동,101,"28260",5169141.40673999954,15058.41187870000,5.000000000000000
126,"28260104",경서동,3010,"28260",4893095.09869999997,12952.72207860000,1.000000000000000
127,"28720310",북도면,1009,"28720",17661524.11019999906,65925.89481590000,2.000000000000000
128,"28260106",연희동,3011,"28260",2805140.22397999978,9763.24152539000,1.000000000000000
129,"28260109",신현동,1090,"28260",1150955.16463000001,4711.21084501000,3.000000000000000
130,"28260120",왕길동,2379,"28260",4996779.15998000000,12199.56764780000,1.000000000000000
131,"28140102",화수동,39,"28140",613666.69379399996,4270.80622502000,1.000000000000000
132,"28140105",창영동,66,"28140",144491.05181100001,2810.19944656000,2.000000000000000
133,"28110115",항동4가,249,"28110",14456.06385760000,482.23858760200,0.000000000000000
134,"28110107",해안동3가,252,"28110",7870.96932721000,385.49008203100,0.000000000000000
144,"28710310",선원면,45,"28710",21335344.14869999886,25841.88441400000,1.000000000000000
145,"28710390",송해면,689,"28710",22362835.50750000030,25483.21732610000,1.000000000000000
146,"28710250",강화읍,690,"28710",24787347.55739999563,31078.58828580000,4.000000000000000
147,"28710370",하점면,43,"28710",36099214.36200000346,29256.17638780000,2.000000000000000
148,"28710360",내가면,97,"28710",29702482.98790000007,26736.93992330000,1.000000000000000
149,"28710380",양사면,37,"28710",26399240.86939999834,27630.46393820000,1.000000000000000
150,"28710320",불은면,38,"28710",31430679.86910000071,34257.18213870000,2.000000000000000
151,"28710330",길상면,34,"28710",34999443.58669999987,43013.18826210000,1.000000000000000
152,"28710350",양도면,1329,"28710",35436508.54879999906,29199.80239180000,2.000000000000000
153,"28710400",교동면,65,"28710",47061164.81139999628,38173.44814280000,2.000000000000000
154,"28720380",연평면,689,"28720",7330379.65648000035,24598.19564890000,0.000000000000000
155,"28720340",대청면,2945,"28720",15705689.72479999997,45374.64319600000,2.000000000000000
156,"28720330",백령면,38,"28720",51283449.10939998925,50896.14262210000,2.000000000000000
